"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33182","Validate the  presence of menu items under “My Info”","","2026-06-05","passed","2026-06-05","","","",""
"","12569","validation of visibility and accessibility of main menu items after login","","2026-06-05","passed","2026-06-05","","","",""
"","28838","creating a new user and validating login with newly created credentials","","2026-06-05","passed","2026-06-05","","","",""
"","8824","Validate username and password field","","2026-06-05","passed","2026-06-05","","","",""
"","13090","Validate forgot password link","","2026-06-05","passed","2026-06-05","","","",""
"","8730","Validate the URL of Orange HRM website","","2026-06-05","passed","2026-06-05","","","",""
"","15674","Validate presence of the newly created user in the admin user list","","2026-06-05","passed","2026-06-05","","","",""
"","20820","Login with the credentials from excel file","","2026-06-05","passed","2026-06-05","","","",""
"","20268","Initiate a claim request","","2026-06-05","passed","2026-06-05","","","",""
